ticker,classification,reasoning,theme,ticker
TEAM,core,"Atlassian is explicitly developing and integrating AI-powered tools into its existing collaboration software, positioning it as a key player in the AI infrastructure and enterprise software space.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software",
SNOW,core,"Snowflake's core business is a cloud-based data warehousing and analytics platform, with a strong focus on data services and generative AI integration, positioning it directly within the AI infrastructure space.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software",
RNG,core,"The company's business is centered around cloud-based communication and collaboration solutions, with a strong focus on AI-powered solutions like RingCX, AI Receptionist, and RingSense, directly aligning with the AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software theme.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software",
PCOR,core,"Procore Technologies is a SaaS provider integrating AI, particularly generative AI, into construction management software, positioning it directly within the AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software theme.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software",
NTNX,core,"Nutanix is a leading provider of hyper-converged infrastructure software, directly addressing the core need for cloud infrastructure and enterprise software.","AI Infrastructure, Chips, Generative AI Platforms & Enterprise Software",
DLR,core,"Digital Realty is a leading global data center provider, directly operating and providing the infrastructure for cloud computing and other data-intensive applications.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
EQIX,core,"Equinix is a data center REIT, directly providing data center infrastructure and connectivity services, which is central to the cloud computing, data centers, hyperscale, and network infrastructure theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
ANET,core,"Arista Networks specializes in data center networking solutions, particularly software-defined networking (SDN), which directly aligns with the theme of Cloud Computing, Data Centers, Hyperscaleers & Network Infrastructure.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
HPE,core,"HPE's business is directly focused on providing computing, storage, networking, and cloud solutions, with a strong emphasis on cloud infrastructure and data center networking, making it a core player in the cloud computing space.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
KD,core,"Kyndryl Holdings Inc. provides IT services specializing in cloud, security, network, and data domains, leveraging partnerships with major cloud providers, directly aligning with the cloud computing, data centers, and network infrastructure theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
INFA,core,"Informatica's business is centered around data integration, data management, and cloud computing integration, with a strategic transition towards a cloud-first model, positioning it as a core player in the cloud computing space.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
DDOG,core,"DataDog's core business is providing an observability platform for cloud-scale applications, directly aligning with the theme of Cloud Computing, Data Centers, Hyperscaleers & Network Infrastructure.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
NTAP,core,"NetApp's core business is providing data storage, cloud operations (CloudOps) solutions, and cloud integration, directly aligning with the Cloud Computing, Data Centers, Hyperscaleers & Network Infrastructure theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
SNX,core,"TD Synnex is a major IT distributor, with a significant focus on data centers, cloud infrastructure, and cybersecurity, indicating its direct involvement in the cloud computing and related infrastructure space.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
MSFT,core,"Microsoft's business is fundamentally centered around cloud computing services (Azure) and is heavily invested in cloud infrastructure, AI, and data centers, making it a core player in the theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
DELL,core,"Dell Technologies has a significant Infrastructure Solutions Group and a strong focus on data centers and cloud computing, making it a core player in the investment theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
TDC,core,"TeraData Corp's business is centered around providing cloud-native data platforms and services for data analytics and management, directly aligning with the cloud computing theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
DBX,core,"Dropbox's core business is cloud storage and file sharing, directly aligning with the cloud computing theme.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
WDAY,core,"Workday's core business is providing cloud-based HCM, financial management, and student information systems software, which directly aligns with cloud computing and data center infrastructure.","Cloud Computing, Data Centers, Hyperscalers & Network Infrastructure",
TLN,core,"Talen Energy's business is directly focused on nuclear power, renewable energy, battery storage, and digital infrastructure, aligning with the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
CEG,core,"Constellation Energy has a significant nuclear power portfolio and is actively investing in renewable energy, making it a core player in the renewable energy sector.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
PCG,core,"PG&E's core business is generating, transmitting, and distributing energy, with a significant and growing focus on renewable energy and grid modernization, directly aligning with the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
ETR,core,"Entergy operates a significant nuclear power portfolio, making it a direct player in the nuclear energy sector and a key component of a renewable energy transition strategy.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
DTE,core,"DTE Energy has a significant focus on renewable energy projects and is actively transitioning towards cleaner energy sources, including nuclear power, making it a core player in the renewable energy sector.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
AES,core,"AES Corp's business is focused on renewable energy and energy storage, with a strategic pivot towards these areas, making it a core player in the renewable energy and grid storage space.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
CWEN,core,"Clearway Energy's core business is focused on renewable energy generation (wind and solar) and battery storage, directly aligning with the renewable energy and grid storage aspects of the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
DUK,core,"Duke Energy's business description explicitly states a strategic pivot towards renewable energy, including significant investments in wind and solar power, grid modernization, and energy transition initiatives, aligning with the renewable energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
D,core,"Dominion Energy is actively investing in renewable energy infrastructure, including solar and wind projects, and has a strategic focus on expanding its renewable energy portfolio, making it a core player in the renewable energy sector.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
ES,core,"Eversource Energy is actively transitioning towards renewable energy sources and is heavily involved in grid modernization, aligning with the core theme of renewable energy and grid infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
SO,core,"Southern Company is explicitly investing in renewable energy, distributed energy resources (DERs), and microgrids, indicating a direct involvement in the renewable energy sector and grid modernization, aligning with the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
PNW,core,"PNW is a major utility company with a significant focus on renewable energy, energy storage, and grid modernization, aligning with the investment theme of renewable energy, grid storage, and power for digital infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
PPL,core,"PPL Corporation's business is directly focused on cleaner energy technologies and advanced grid technologies, aligning with the renewable energy transition and smart grid trends.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
GEV,core,"GE Vernova's primary business is renewable energy technologies and power generation, directly aligning with the investment theme of Renewable Energy.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
CMS,core,"CMS Energy has a significant portfolio of nuclear power generation assets and is actively investing in renewable energy and energy efficiency, aligning with the theme of renewable energy and grid storage & power for digital infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
WEC,core,"WEC Energy Group's business model directly involves electricity generation and distribution, with a significant focus on renewable energy sources and infrastructure development, aligning with the renewable energy and grid storage aspects of the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
EIX,core,"Edison International's core business is generating, transmitting, and distributing electricity, with a growing focus on renewable energy, aligning with the renewable energy aspect of the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
PEG,core,"PSEG has a significant and growing renewable energy portfolio, indicating its primary business is directly related to the renewable energy sector.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
MTZ,core,"MasTec has a significant presence in the renewable energy sector, particularly wind and solar farm construction, making it a direct beneficiary of the renewable energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
BEPC,core,"Brookfield Renewable Subordinate V focuses on renewable energy assets, including hydro, wind, and solar, aligning directly with the renewable energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
BWXT,core,"BWX Technologies is a diversified nuclear technology company with a primary focus on nuclear components and services, particularly nuclear steam generators, aligning directly with the nuclear energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
NEE,core,"NextEra Energy's primary business is generating electricity from renewable sources like wind and solar, making it a core player in the renewable energy sector.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
EXC,core,"Exelon is a regulated electric utility with a diverse portfolio of power generation assets, including nuclear and renewable energy, making it a direct player in the renewable energy sector and grid infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
PWR,core,"Quantas Services is explicitly investing in renewable energy projects and has expertise in power transmission and distribution, aligning with the renewable energy and grid storage aspects of the investment theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
LNT,core,"Alliant Energy's core business is electricity generation, transmission, and distribution, with a significant and growing focus on renewable energy, making it directly relevant to the renewable energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
CNP,core,"CenterPoint Energy is a utility provider with a focus on energy infrastructure, smart grid technology, and electric vehicle infrastructure, directly aligning with the theme of renewable energy, grid storage, and power for digital infrastructure.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
ENPH,core,"The company's primary business is solar microinverters, battery energy storage, and EV charging solutions, directly aligning with the renewable energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
EVRG,core,"Eversource Energy has a diverse generation portfolio including nuclear and wind power, and is actively investing in renewable energy sources, aligning with the renewable energy theme.","Nuclear, Renewable Energy, Grid Storage & Power for Digital Infrastructure",
